accidentDay;district;streetName;accidentType;mainAccidentCause;totalParticipantsAmount;latitude;longitude;Count_Без ушкоджень;Count_Загинув;Count_Легко травмований;Count_Тяжко травмований;Is_Intersection;Year;Month;DayOfWeek;Hour;settlement_grouped;Simple_Type;Simple_Cause
середа;Галицький;Городоцька;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.838678;24.008201;1;0;0;1;0;2018;5;2;20;Львів;Наїзд на пішохода;Перевищення швидкості
середа;Залізничний;Городоцька;наїзд на пішохода - пішохід рухався у попутному напрямку;перехід у невстановленому місці;2;49.827246;23.949863;1;0;1;0;0;2018;4;2;22;Львів;Наїзд на пішохода;Інше
четвер;Шевченківський;Шевченка Т.;зіткнення бокове;недодержання дистанції;3;49.859574;23.971514;2;0;1;0;0;2018;5;3;11;Львів;Зіткнення автомобілів;Недотримання дистанції
п'ятниця;Сихівський;Стуса В.;зіткнення бокове;порушення правил проїзду перехресть;3;49.817417;24.044555;2;0;1;0;0;2018;5;4;12;Львів;Зіткнення автомобілів;Порушення проїзду перехресть
субота;Сихівський;Угорська;зіткнення бокове;порушення правил маневрування;2;49.810296;24.046175;1;0;1;0;1;2018;5;5;17;Львів;Зіткнення автомобілів;Порушення маневрування
понеділок;Сихівський;Скорини Ф.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.798691;24.024315;1;0;1;0;0;2018;5;0;9;Львів;Наїзд на пішохода;Перевищення швидкості
четвер;Франківський;Чупринки Т., ген.;зіткнення бокове;порушення правил маневрування , невиконання вимог сигналів регулювання;3;49.83235;24.012036;2;0;0;1;1;2018;5;3;0;Львів;Зіткнення автомобілів;Порушення маневрування
понеділок;Франківський;Княгині Ольги;падіння пасажира;порушення правил перевезення пасажирів;2;49.811529;24.000235;1;0;1;0;0;2018;4;0;18;Львів;Падіння пасажира;Інше
вівторок;Франківський;Мельника А.;наїзд на пішохода - на регульованому пішохідному переході;перевищення безпечної швидкості;2;49.832222;24.002166;1;0;1;0;0;2018;5;1;14;Львів;Наїзд на пішохода;Перевищення швидкості
середа;Шевченківський;Шевченка Т.;зіткнення бокове;порушення правил маневрування;2;49.865701;23.957614;1;0;1;0;0;2018;5;2;23;Львів;Зіткнення автомобілів;Порушення маневрування
четвер;Франківський;Стрийська;наїзд на пішохода - пішохід переходив дорогу поза межами пішохідного переходу;порушення правил маневрування;2;49.793663;24.016033;1;1;0;0;0;2018;4;3;10;Львів;Наїзд на пішохода;Порушення маневрування
п'ятниця;Залізничний;Патона Є.;наїзд на пішохода - пішохід рухався у попутному напрямку;перевищення безпечної швидкості , порушення правил проїзду пішохідних переходів;3;49.822736;23.964964;1;0;1;1;0;2018;5;4;19;Львів;Наїзд на пішохода;Перевищення швидкості
вівторок;Залізничний;Городоцька;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.834702;23.991319;1;0;1;0;0;2018;6;1;18;Львів;Наїзд на пішохода;Порушення маневрування
понеділок;Личаківський;Личаківська;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.839861;24.039921;1;0;1;0;0;2018;4;0;22;Львів;Наїзд на пішохода;Порушення маневрування
неділя;Залізничний;Виговського І.;зіткнення з задньою частиною тз;перевищення безпечної швидкості , недодержання дистанції;3;49.81291;23.978444;2;0;1;0;0;2018;4;6;13;Львів;Зіткнення автомобілів;Перевищення швидкості
субота;Шевченківський;Замарстинівська;наїзд на інші види перешкод;порушення правил маневрування;1;49.891096;23.979378;0;1;0;0;0;2018;4;5;21;Львів;Наїзд на перешкоду;Порушення маневрування
п'ятниця;Франківський;Володимира Великого;зіткнення з задньою частиною тз;перевищення безпечної швидкості;3;49.810206;24.002214;1;0;2;0;0;2018;4;4;13;Львів;Зіткнення автомобілів;Перевищення швидкості
неділя;Шевченківський;Грінченка Б.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.872658;24.050606;1;0;0;1;0;2018;4;6;20;Львів;Наїзд на пішохода;Перевищення швидкості
вівторок;Франківський;Окружна;наїзд на пішохода - на регульованому пішохідному переході;порушення правил маневрування;2;49.827104;23.982725;1;0;0;1;1;2018;6;1;15;Львів;Наїзд на пішохода;Порушення маневрування
середа;Галицький;Листопадового Чину;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил маневрування;2;49.839086;24.017964;0;0;2;0;0;2018;5;2;19;Львів;Наїзд на пішохода;Порушення маневрування
середа;Галицький;Дорошенка П.;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;49.839923;24.026665;1;0;1;0;0;2018;5;2;19;Львів;Наїзд на пішохода;Порушення проїзду переходів
п'ятниця;Шевченківський;Шевченка Т.;зіткнення бокове;перевищення безпечної швидкості;4;49.860881;23.968413;3;0;1;0;0;2018;4;4;17;Львів;Зіткнення автомобілів;Перевищення швидкості
неділя;Франківський;Володимира Великого;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.809047;24.011419;1;0;1;0;0;2018;4;6;13;Львів;Наїзд на пішохода;Перевищення швидкості
четвер;Сихівський;Червоної Калини, просп.;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування , порушення правил проїзду перехресть;2;49.798123;24.049764;1;0;1;0;0;2018;5;3;12;Львів;Наїзд на пішохода;Порушення маневрування
неділя;Личаківський;Студентська;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;49.829322;24.045757;1;0;1;0;0;2018;6;6;11;Львів;Наїзд на пішохода;Порушення проїзду переходів
п'ятниця;Галицький;Князя Романа;зіткнення бокове;порушення правил маневрування;5;49.838543;24.032507;3;0;2;0;0;2018;6;4;20;Львів;Зіткнення автомобілів;Порушення маневрування
понеділок;Галицький;Свободи, просп.;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;49.843341;24.027046;0;0;2;0;0;2018;6;0;13;Львів;Наїзд на пішохода;Порушення проїзду переходів
п'ятниця;Сихівський;Луганська;зіткнення бокове;порушення правил маневрування;2;49.808582;24.047077;1;0;1;0;0;2018;6;4;13;Львів;Зіткнення автомобілів;Порушення маневрування
п'ятниця;Сихівський;Зелена;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.814344;24.063435;1;0;1;0;0;2018;7;4;20;Львів;Наїзд на пішохода;Порушення маневрування
п'ятниця;Галицький;Вірменська;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.843245;24.032561;1;0;1;0;0;2018;7;4;11;Львів;Наїзд на пішохода;Порушення маневрування
середа;Франківський;Княгині Ольги;зіткнення лобове;недодержання дистанції;2;49.822304;24.006586;1;0;1;0;0;2018;7;2;11;Львів;Зіткнення автомобілів;Недотримання дистанції
четвер;Залізничний;Городоцька;наїзд на пішохода - пішохід рухався у зустрічному напрямку;пішоходи невиконання вимог сигналів регулювання;2;49.830779;23.968949;1;0;0;1;0;2018;7;3;17;Львів;Наїзд на пішохода;Інше
четвер;Шевченківський;Жовківська;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.852148;24.03226;1;0;1;0;0;2018;7;3;21;Львів;Наїзд на пішохода;Порушення маневрування
субота;Галицький;Зернова;наїзд на пішохода - стояв на проїздній частині;перехід у невстановленому місці;2;49.846406;24.024289;1;0;1;0;0;2018;6;5;8;Львів;Наїзд на пішохода;Інше
