№ п/п;Область;Індекс дороги;Назва дороги;Початок ділянки км, м;Кінець ділянки км, м;GPS-координати, початок (широта/довгота);GPS-координати, кінець (широта/довгота);Протяжність ділянки, м;Кількість ДТП за три роки до взяття на облік;;;;;;
153;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);799+020;799+500;48.67013246133333 33.079142430000005 ;48.665990306 33.08098817933333;480;5;;;;;;
154;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);800+100;801+100;48.661206142 33.084778916000005 ;48.657614636 33.096274515333334;1000;3;;;;;;
155;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);803+200;804+200;48.654731041999995 33.124372875999995;48.65467043 33.138090174;1000;4;;;;;;
156;Кіровоградська;М-30;Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький);811+616;812+100;48.65803404 33.22916414;48.655783047999996 33.234662615333335 ;484;5;;;;;;
157;Кіровоградська;Н-14;Олександрівка – Кропивницький – Миколаїв;1+400;2+001;48.9695882,32.2438188;48.9655289,32.2488508;601;3;;;;;;
158;Кіровоградська;Н-14;Олександрівка – Кропивницький – Миколаїв;5+600;6+100;48.9498117,32.229117;48.9457627,32.2280742;500;4;;;;;;
159;Кіровоградська;Н-14;Олександрівка – Кропивницький – Миколаїв;23+011;24+002;48.7984945, 32.2511045;48.7905073,32.2436218;991;3;;;;;;
160;Кіровоградська;Н-14;Олександрівка – Кропивницький – Миколаїв;44+000;45+000;48.61462291 32.23359192;48.60565461 32.23318468;1000;3;;;;;;
161;Кіровоградська;null;Південний об’їзд м. Кропивницького;3+000;3+302;48.4758801,32.1666405;48.4733456,32.1680728;302;4;;;;;;
162;Кіровоградська;Н-23; Кропивницький – Кривий Ріг – Запоріжжя;27+005;27+800;48.378237,32.6323243;48.3764421,32.6353463;795;3;;;;;;
163;Кіровоградська;Н-24;Благовіщенське – Миколаїв (через м. Вознесенськ);5+220 ;6+100;48.3839315,30.3252406;48.3825093,30.3370513;880;4;;;;;;
164;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);437+000 ;437+600;50.089647425.1733271;50.0843343, 25.1719115;600;3;;;;;;
165;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);439+613 ;440+100;50.0679908, 25.1624822;50.066358, 25.1564424;487;5;;;;;;
166;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);450+000 ;451+000;49.9858159, 25.1006527;49.979381725.0909244;1000;4;;;;;;
167;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);454+400 ;454+900;49.9652786, 25.0497286;49.963514, 25.0431015;500;4;;;;;;
168;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);486+000;487+000;49.98463502365832, 24.644294297167253;49.98187044570875, 24.631125127734155;1000;5;;;;;;
169;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);488+000 ;489+000;49.9806415, 24.617311;49.9785435, 24.604049;1000;4;;;;;;
170;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);491+850;492+800;49.9620506, 24.5755731;49.9633815, 24.5626188;950;3;;;;;;
171;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);498+100;499+000;49.9690652, 24.4929872;49.9710811, 24.4809309;900;7;;;;;;
172;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);506+000 ;507+000;49.9631674, 24.3950525;49.9559602, 24.3875842;1000;5;;;;;;
173;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);511+000 ;511+387;49.9248528, 24.3630304;49.9215683, 24.3617701;387;4;;;;;;
174;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);511+747;512+000;49.91977,24.3578459;49.9192523,24.3542508;253;3;;;;;;
175;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);515+000 ;516+000;49.922056, 24.3141622;49.921085624.3004361;1000;4;;;;;;
176;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);517+200 ;518+200;49.9208084, 24.2835158;49.918632, 24.2704702;1000;4;;;;;;
177;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);518+800;519+550;49.9161975, 24.2631042;49.9151853, 24.2528973;750;4;;;;;;
178;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);521+000 ;521+600;49.9161834, 24.2327267;49.9165894, 24.2243077;600;3;;;;;;
179;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);522+500 ;523+500;49.9171942, 24.2118313;49.9174752, 24.1979615;1000;4;;;;;;
180;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);535+850;536+564;49.846513524.1692494;49.8403982, 24.16729;714;3;;;;;;
181;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);560+800 ;561+200;49.7049875, 23.9994377;49.7017343, 24.0015238;400;3;;;;;;
182;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);563+850 ;564+300;49.6782688, 24.0037953;49.6743626, 24.0025991;450;3;;;;;;
183;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);564+300 ;565+299;49.6743626, 24.0025991;49.6655952, 24.0029556;999;5;;;;;;
184;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);574+847 ;575+300;49.5815536, 23.995751;49.5777233, 23.9936905;453;3;;;;;;
185;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);578+100 ;578+960;49.5536341, 23.9847898;49.549162623.9750973;860;3;;;;;;
186;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);580+40 ;580+850;49.5429817, 23.957694;49.540167123.9538074;810;4;;;;;;
187;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);584+100 ;585+100;49.5127064, 23.9571026;49.5057884, 23.9656952;1000;5;;;;;;
188;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);589+20 ;589+900;49.4755369, 23.9561155;49.469288223.9559574;880;3;;;;;;
189;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);591+150 ;591+900;49.4581785, 23.9554312;49.451293823.9545361;750;5;;;;;;
190;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);599+050;599+990;49.38902611298661, 23.942652840267588;49.38100179428317, 23.937754241311982;940;3;;;;;;
191;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);601+824 ;602+700;49.365757, 23.9284243;49.3584683, 23.9239695;876;3;;;;;;
192;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);605+000 ;605+600;49.3392508, 23.9122413;49.334212123.9091588;600;4;;;;;;
193;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);608+001 ;609+000;49.3132972, 23.8962992;49.305890423.8917622;999;4;;;;;;
194;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);611+200;612+010;49.2875371,23.8803787;49.2809498,23.876235;810;6;;;;;;
195;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);613+200 ;613+750;49.271769, 23.8747125;49.268167223.8738138;550;3;;;;;;
196;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);614+550 ;615+100;49.2626868, 23.8710868;49.258813, 23.8666296;550;3;;;;;;
197;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);615+100 ;616+100;49.258813, 23.8666296;49.2507941, 23.8602809;1000;4;;;;;;
198;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);618+070 ;619+000;49.2360563, 23.8345547;49.2345618, 23.8311658;930;7;;;;;;
199;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);621+010 ;622+000;49.2225477, 23.8097335;49.2200629, 23.7982479;990;4;;;;;;
200;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);624+900;625+900;49.201987448923724, 23.769545348724055;49.19596840637037, 23.75975838594882;1000;3;;;;;;
201;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);627+110;628+110;49.1877885, 23.7484344;49.1809321, 23.7395777;1000;1;;;;;;
202;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);644+500;645+100;49.0988578,23.5888396;49.093604,23.5860904;600;3;;;;;;
203;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);651+100 ;652+010;49.0531004, 23.5335573;49.0479589, 23.5227124;910;4;;;;;;
204;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);672+420;673+005;48.9486916, 23.3382042;48.9444829, 23.3347647;585;1;;;;;;
205;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);676+350 ;677+100;48.9211016, 23.308424;48.9161627, 23.3014862;750;3;;;;;;
206;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);682+600;683+600;48.8821122,23.2831991;48.8865610,23.2724494;1000;4;;;;;;
207;Львівська;М-06;Київ - Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);700+438 ;700+930;48.8687602, 23.1328056;48.8654715, 23.1290956;492;4;;;;;;
208;Львівська;null;Східний під’їзд до м. Львова;2+700 ;3+500;49.8921308, 24.1009638;49.8897241, 24.0902733;800;6;;;;;;
209;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);44+100 ;44+700;49.7409031, 25.0395362;49.7435659, 25.0320648;600;4;;;;;;
210;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);51+500;52+500;49.77687573226265, 24.960607474214893;49.778980423423825, 24.947337897155187;1000;3;;;;;;
211;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);53+000 ;53+010;49.780130224.9405092;49.7803404, 24.9393401;10;3;;;;;;
212;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);54+350 ;55+100;49.786487924.9248642;49.7891706, 24.9153507;750;3;;;;;;
213;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);57+140;57+950;49.7957564,24.8886807;49.7994829,24.879289;810;;;;;;;
214;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);58+230 ;59+100;49.8009282, 24.8760731;49.80546524.8661494;870;5;;;;;;
215;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);65+700;66+250;49.8051924,24.7752496;49.8050238,24.7673842;550;3;;;;;;
216;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);71+700;72+506;49.80043403416521, 24.692928297156474;49.79855690801322, 24.681952797156338;806;5;;;;;;
217;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);101+100 ;101+600;49.7911828, 24.3201247;49.7914253, 24.3130966;500;3;;;;;;
218;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);109+850 ;110+050;49.8147275, 24.2059272;49.8155938, 24.1971887;200;3;;;;;;
219;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);131+000 ;132+000;49.8883284, 24.0592878;49.897213124.0574578;1000;4;;;;;;
220;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);134+000 ;135+000;49.9149624, 24.0534047;49.9239449, 24.0530589;1000;4;;;;;;
221;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);142+100 ;143+001;49.9827013, 24.0748003;49.989959, 24.0664763;901;3;;;;;;
222;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);158+100 ;158+966;50.076518, 23.9330856;50.0830054, 23.9273618;866;3;;;;;;
223;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);179+800 ;180+100;50.2052959, 23.713508;50.2063537, 23.7101678;300;3;;;;;;
224;Львівська;М-09 ;Тернопіль – Львів – Рава-Руська (на м. Люблін);186+346 ;187+000;50.2302405, 23.6307518;50.2323982, 23.6222695;654;3;;;;;;
225;Львівська;М-10;Львів – Краковець (на м. Краків);12+000 ;12+850;49.8772915, 23.8627279;49.8790481, 23.8514587;850;4;;;;;;
226;Львівська;М-10;Львів – Краковець (на м. Краків);22+500;23+500;49.91677510681595, 23.735449418588555;49.92220393284235, 23.728657249321873;1000;4;;;;;;
227;Львівська;М-10;Львів – Краковець (на м. Краків);27+800 ;28+800;49.9226535, 23.6691014;49.9238514, 23.6555233;1000;3;;;;;;
228;Львівська;М-10;Львів – Краковець (на м. Краків);28+800 ;29+700;49.9238514, 23.6555233;49.9249723, 23.64277;900;3;;;;;;
229;Львівська;М-10;Львів – Краковець (на м. Краків);41+000 ;41+733;49.910934, 23.490272;49.9091921, 23.4804382;733;3;;;;;;
230;Львівська;М-10;Львів – Краковець (на м. Краків);42+800;43+550;49.9079095, 23.4657994;49.9079665, 23.4639078;750;5;;;;;;
231;Львівська;М-10;Львів – Краковець (на м. Краків);54+000 ;54+300;49.9356215, 23.3270768;49.9362094, 23.3230909;300;3;;;;;;
232;Львівська;М-10;Львів – Краковець (на м. Краків);62+500 ;62+500 ;49.955032923.2159178;49.9559684, 23.2027105;948;4;;;;;;
233;Львівська;null;Західний об’їзд м. Львова;0+050;1+001;49.863892, 23.8983548;49.858567, 23.8978401;951;5;;;;;;
234;Львівська;null;Західний об’їзд м. Львова;11+400 ;12+180;49.7826585, 23.9617346;49.7795835, 23.9713317;780;4;;;;;;
235;Львівська;М-11 ;Львів – Шегині (на м. Краків);24+000;25+000;49.92114143852501, 23.721684916807703;49.91988386364606, 23.70791348944155;1000;4;;;;;;
236;Львівська;М-11 ;Львів – Шегині (на м. Краків);30+000;30+300;49.7814741,23.6306702;49.7814398,23.6264747;300;3;;;;;;
237;Львівська;М-11 ;Львів – Шегині (на м. Краків);42+500 ;43+000;49.7892145, 23.4609929;49.7890112, 23.4539869;500;3;;;;;;
238;Львівська;М-11 ;Львів – Шегині (на м. Краків);49+700 ;50+100;49.8018996, 23.3655102;49.8033057, 23.3599446;400;4;;;;;;
239;Львівська;М-11 ;Львів – Шегині (на м. Краків);50+570;51+500;49.80349427732629, 23.354004551031558;49.801339660603205, 23.341281997457976;930;3;;;;;;
240;Львівська;М-11 ;Львів – Шегині (на м. Краків);58+700 ;59+400;49.8016148, 23.2448445;49.8022384, 23.2351412;700;3;;;;;;
241;Львівська;М-11 ;Львів – Шегині (на м. Краків);62+100 ;62+720;49.8023274, 23.1981768;49.7972711, 23.1945376;620;5;;;;;;
242;Львівська;М-11 ;Львів – Шегині (на м. Краків);63+500 ;64+000;49.7942279, 23.1848005;49.7923966, 23.1786108;500;3;;;;;;
243;Львівська;М-11 ;Львів – Шегині (на м. Краків);69+700 ;70+100;49.8016695, 23.1030352;49.8026226, 23.0977162;400;3;;;;;;
244;Львівська;М-11 ;Львів – Шегині (на м. Краків);71+347 ;72+200;49.804689, 23.0804665;49.8044235, 23.0690146;853;3;;;;;;
245;Львівська;М-11 ;Львів – Шегині (на м. Краків);73+100 ;74+000;49.8039063, 23.0561276;49.8017217, 23.0445445;900;3;;;;;;
246;Львівська;М-11 ;Львів – Шегині (на м. Краків);80+358;80+700;49.79899804478663, 22.95810451020018;49.799597594852365, 22.95364924163169;342;3;;;;;;
247;Львівська;Н-09;Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів;422+000;423+000;49.68268523855941, 24.252715012507014;49.68906344339393, 24.24328159349579;1000;3;;;;;;
248;Львівська;Н-09;Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів;425+000;426+000;49.7033527,24.2270501;49.7101759,24.2181026;1000;3;;;;;;
249;Львівська;Н-09;Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів;431+200 ;431+500;49.7401586, 24.1672411;49.7423757, 24.1652829;300;3;;;;;;
250;Львівська;Н-09;Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів;432+000;433+000;49.74554136331137, 24.16026731507582;49.74957201818488, 24.147937231894325;1000;3;;;;;;
251;Львівська;Н-09;Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів;435+100 ;435+500;49.7605682, 24.1243227;49.7622604, 24.1199191;400;3;;;;;;
252;Львівська;Н-13;Львів – Самбір – Ужгород;1+100 ;1+700;49.806679, 23.8933249;49.8018147, 23.8906628;600;3;;;;;;
253;Львівська;Н-13;Львів – Самбір – Ужгород;10+100;10+700;49.760053225812456, 23.80348982113449;49.75672854990269, 23.797023512497884;600;5;;;;;;
254;Львівська;Н-13;Львів – Самбір – Ужгород;29+200 ;30+060;49.6961019, 23.575724;49.691751, 23.5573139;860;3;;;;;;
255;Львівська;Н-13;Львів – Самбір – Ужгород;36+570;37+570;49.6590874, 23.4938587;49.6519379, 23.4866396;1000;0;;;;;;
256;Львівська;Н-13;Львів – Самбір – Ужгород;44+650 ;45+350;49.6179186, 23.4053977;49.614814, 23.3974056;700;4;;;;;;
257;Львівська;Н-13;Львів – Самбір – Ужгород;54+350;54+700;49.5636583, 23.3027690;49.5617666, 23.2989978;350;0;;;;;;
258;Львівська;Н-13;Львів – Самбір – Ужгород;77+200 ;78+100;49.4568797, 23.0384135;49.4522628, 23.0287603;900;5;;;;;;
259;Львівська;Н-13;Львів – Самбір – Ужгород;113+050 ;113+100;49.2146816, 23.0105214;49.2180963, 23.0087449;50;3;;;;;;
260;Львівська;Н-13;Львів – Самбір – Ужгород;118+200 ;118+800;49.1820626, 23.0462405;49.1834062, 23.0482638;600;3;;;;;;
261;Львівська;Н-17;Львів – Радехів – Луцьк;2+750 ;3+190;49.9428752, 24.1790043;49.9446203, 24.1846628;440;4;;;;;;
262;Львівська;Н-17;Львів – Радехів – Луцьк;12+750;13+750;50.0059705, 24.2718146;50.0116302, 24.2823312;1000;0;;;;;;
263;Львівська;Н-17;Львів – Радехів – Луцьк;62+330;63+050;50.3391953, 24.6439596;50.3455293, 24.6445149;720;0;;;;;;
264;Львівська;Р-15;Ковель – Володимир-Волинський – Червоноград – Жовква ;124+679;125+200;50.3420089,24.2092212;50.3375699,24.2062666;521;3;;;;;;
265;Львівська;Р-15;Ковель – Володимир-Волинський – Червоноград – Жовква ;125+500 ;126+010;50.3351016, 24.2045502;50.3301077, 24.2020302;510;4;;;;;;
266;Львівська;Р-15;Ковель – Володимир-Волинський – Червоноград – Жовква ;137+161;137+536;50.241758597641144, 24.138177384207683;50.23839412453219, 24.13868515167896;375;4;;;;;;
267;Львівська;Р-15;Ковель – Володимир-Волинський – Червоноград – Жовква ;150+880;151+500;50.133748678639655, 24.053542994743495;50.1286294666761, 24.050569237444037;620;3;;;;;;
268;Львівська;Р-15;Ковель – Володимир-Волинський – Червоноград – Жовква ;151+500 ;152+000;50.1286539, 24.0504989;50.1244543, 24.04786;500;3;;;;;;
269;Львівська;Т-14-01 ;Контрольно-пропускний пункт “Смільниця” – Старий Самбір;16+050 ;17+000;49.5285701, 22.8763429;49.5274415, 22.883181;950;3;;;;;;
270;Львівська;Т-14-02 ;Східниця – Пісочна;2+002 ;2+326;49.2488026, 23.3449963;49.249858823.3450335;324;3;;;;;;
271;Львівська;Т-14-02 ;Східниця – Пісочна;24+001 ;24+500;49.3202431, 23.5382533;49.3209574, 23.5433306;499;3;;;;;;
272;Львівська;Т-14-02 ;Східниця – Пісочна;40+400;41+300;49.4162907,23.6928574;49.4151663,23.7026591;900;3;;;;;;
273;Львівська;Т-14-16 ;Львів – Пустомити – Мединичі;4+990;5+920;49.791037, 23.978672;49.78441166, 23.9720903;930;4;;;;;;
274;Львівська;Т-14-16 ;Львів – Пустомити – Мединичі;12+000 ;12+960;49.7473561, 23.918018;49.7410482, 23.9089818;960;5;;;;;;
275;Львівська;Т-14-16 ;Львів – Пустомити – Мединичі;22+700;23+000;49.6647166,23.8784156;49.6619859,23.8775365;300;5;;;;;;
276;Львівська;Т-14-18;Нижанковичі-Самбір-Дрогобич-Стрий;88+200;89+150;49.351677423495815, 23.591364709494993;49.35041839860486, 23.603822627102943;950;3;;;;;;
277;Львівська;Р-84 (Т-14-19) ;Бібрка – Кам’янка-Бузька – Жовква – Городок – Миколаїв – Жидачів – Калуш – Буштин (Миколаїв – Жидачів – Калуш);205+400 (10+001) ;206+394 (10+009);49.44023505,4.07000769888889; 49.43289734,24.07034058;993;3;;;;;;
278;Одеська;М-15;Одеса – Рені (на м. Бухарест);16+661 ;  16+761;46.474807, 30.556796;46.474291, 30.555493;100;12;;;;;;
279;Одеська;М-15;Одеса – Рені (на м. Бухарест);39+025 ;40+025;46.418704, 30.285651  ;46.415081, 30.274078;1000;6;;;;;;
280;Одеська;М-15;Одеса – Рені (на м. Бухарест);51+150 ;52+020;46.420122, 30.175460 ;46.413573, 30.170732;900;3;;;;;;
281;Одеська;М-15;Одеса – Рені (на м. Бухарест);95+600;96+500;46.1377868, 29.91425163;46.134917, 29.903137;900;18_4;;;;;;
282;Одеська;М-15;Одеса – Рені (на м. Бухарест);120+010;120+810;46.005419, 29.686819;45.9985026, 29.6891907;800;3;;;;;;
283;Одеська;М-15;Одеса – Рені (на м. Бухарест);125+140 ;126+030;45.9602275, 29.6951609;45.9521728, 29.6960283;890;3;;;;;;
284;Одеська;М-15;Одеса – Рені (на м. Бухарест);140+001;140+100;  45.8447161, 29.6436116;45.8441984, 29.6424880;99;4_1;;;;;;
285;Одеська;М-15;Одеса – Рені (на м. Бухарест);141+218;142+180;45.8426268, 29.6287765;45.8359781, 29.620928;962;9;;;;;;
286;Одеська;М-15;Одеса – Рені (на м. Бухарест);189+500 ;190+300;45.704554, 29.075590;45.701055, 29.066986;800;3;;;;;;
287;Одеська;М-15;Одеса – Рені (на м. Бухарест);229+500 ;230+500;45.406423, 28.866107;45.398448, 28.859768;1000;3;;;;;;
288;Одеська;М-15;Одеса – Рені (на м. Бухарест);237+400 ;237+650;45.371192, 28.785963;45.372997, 28.784024;250;3;;;;;;
289;Одеська;М-15;Одеса – Рені (на м. Бухарест);271+200 ;271+500;45.325577, 28.455074;45.324228, 28.452142;300;4;;;;;;
290;Одеська;М-15;Одеса – Рені (на м. Бухарест);181+001 ;181+700;45.7305374,29.1793977;45.7297252,29.1720244;699;3;;;;;;
291;Одеська;М-28 ;Одеса – Южне – (Об'їзд м. Одеси);9+830;10+700;46.556630, 30.718941;46.557411, 30.708024;870;4;;;;;;
292;Одеська;Н-33 ;Н-33 Одеса – Білгород-Дністровський – Монаші – /М-15/ з під’їздом до порту Чорноморськ;9+012;10+001;46.4191461, 30.5984086;46.4109776, 30.593914;989;5;;;;;;
293;Одеська;Р-55 ;Одеса – Вознесенськ – Новий Буг;13+505;14+505;46.8102070, 30.9564372;46.819094, 30.954476;1000;3;;;;;;
294;Одеська;Т-16-09 ;/Н-33/ – Сухий Лиман – /М-27/;2+750;3+400;46.4171921, 30.62951;46.4111816, 30.6307769;650;3;;;;;;
295;Одеська;М-27 ;Одеса - Чорноморськ;12+200;12+500;46.3892199, 30.6617103;46.3872955, 30.6590754;300;23_1;;;;;;
296;Полтавська;М-03;Київ - Харків - Довжанський (на м. Ростов-на-Дону);346+000 ;345+500  ;49.5580246, 34.6001583;49.5591690, 34.6066740 ;500;6;;;;;;
297;Полтавська;М-22;Полтава – Олександрія ;5+000 ;6+000;49.5294254, 34.4756570;49.525279, 34.463659;1000;8;;;;;;
298;Полтавська;М-22;Полтава – Олександрія ;87+000;88+000;49.127749, 33.657177;49.130009, 33.6439912;1000;3;;;;;;
299;Полтавська;М-22;Полтава – Олександрія ;88+000 ;89+000;49.130009, 33.6439912;49.1278617, 33.6310369;1000;6;;;;;;
300;Полтавська;М-22;Полтава – Олександрія ;94+650 ;95+350;49.1073647, 33.5709221;49.1048507, 33.5631135;700;3;;;;;;
301;Полтавська;Н-12;Суми – Полтава з обходом м. Сум;168+450;169+450;49.7049071 34.5523636;49.6957694 34.5545462;1000;3;;;;;;
302;Полтавська;Р-60;Кролевець – Конотоп – Ромни – Пирятин;168+100;169+100;50.4093253 33.3443644;50.4027670 33.3353218;1000;7;;;;;;
303;Полтавська;Р-60;Кролевець – Конотоп – Ромни – Пирятин;189+000;189+500;50.2884014, 33.1334348;50.2847677, 33.1289658;500;4;;;;;;
304;Полтавська;Р-60;Кролевець – Конотоп – Ромни – Пирятин;216+900;217+300;50.2521472, 32.7871284;50.2531213, 32.781943;400;3;;;;;;
305;Рівненська;М-06 ;Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород);393+950;394+000;50.2980342, 25.6169486;50.2976514, 25.6167244;50;3;;;;;;
306;Сумська;М-02;Кіпті –– Глухів –– Бачівськ (на м. Брянськ);167+375 ;168+100;51.5282758, 33.3955235;51.5307764, 33.4050651;725;3;;;;;;
307;Сумська;Н-07;Київ –– Суми –– Юнаківка (на м. Курськ);261+500;262+100;50.8031846, 34.3008506;50.8036332, 34.3093243;600;3;;;;;;
308;Сумська;Н-07;Київ –– Суми –– Юнаківка (на м. Курськ);283+050 ;284+000;50.8258386, 34.5925287;50.826281, 34.605811;950;3;;;;;;
309;Сумська;Н-12;Суми –– Полтава з об’їздом м. Сум;22+100 ;23+100;50.7807968, 34.9354945;50.7735902, 34.9437503;1000;3;;;;;;
310;Сумська;Н-12;Суми –– Полтава з об’їздом м. Сум;65+050 ;65+600;50.4217945, 34.9342572;50.4209095, 34.9340054;550;4;;;;;;
311;Сумська;Н-12;Обхід м. Суми;10+522;10+702;50.8311454, 34.8116484;50.8314198, 34.8091306;180;3;;;;;;
312;Тернопільська;М-09;Тернопіль – Львів – Рава-Руська (на м. Люблін);10+670;11+000;49.5996515/25.42647288;49.60145907/25.42241477;330;3;;;;;;
313;Тернопільська;М-09;Тернопіль – Львів – Рава-Руська (на м. Люблін);11+030 ;11+450;49.6016647, 25.4219611;49.6036787, 25.4173428;420;4;;;;;;
314;Тернопільська;М-09;Тернопіль – Львів – Рава-Руська (на м. Люблін);11+800 ;12+152;49.6052701, 25.4133916;49.6068724, 25.4092076;352;4;;;;;;
315;Тернопільська;М-09;Тернопіль – Львів – Рава-Руська (на м. Люблін);22+700;23+080;49.6333807/25.2714402;49.6345074/25.2660724;380;3;;;;;;
316;Тернопільська;М-19 ;Доманове - Ковель - Чернівці -Тереблече;340+000;341+000;49.4002423/25.8511783;49.15021922/25.652752;1000;3;;;;;;
317;Тернопільська;М-19 ;Доманове - Ковель - Чернівці -Тереблече;374+930;375+600;49.1553416,25.8511783;49.15021922,25.8551628;670;4;;;;;;
318;Тернопільська;М-19 ;Доманове - Ковель - Чернівці -Тереблече;397+000 ;397+498;48.9811434/25.8210234;48.9767746/25.8216142;498;3;;;;;;
